group,r_nm,g_r
PME,0.10500000000000001,0.0
PME,0.115,0.0
PME,0.125,0.0
PME,0.135,0.0
PME,0.14500000000000002,0.0
PME,0.15500000000000003,0.0
PME,0.165,0.0
PME,0.175,0.0
PME,0.185,0.0
PME,0.195,0.0
PME,0.20500000000000002,0.0
PME,0.21500000000000002,0.0
PME,0.225,0.0
PME,0.23500000000000001,0.49824882788470354
PME,0.245,1.4485789298521166
PME,0.255,1.015600173619626
PME,0.265,0.32914218251360305
PME,0.275,0.16009839375680016
PME,0.28500000000000003,0.013551059627492071
PME,0.29500000000000004,0.0
PME,0.30500000000000005,0.0
PME,0.315,0.0
PME,0.325,0.0
PME,0.33499999999999996,0.0
PME,0.345,0.009247810784709666
PME,0.355,0.008734179400211092
PME,0.365,0.016524359425668347
PME,0.375,0.03130972487527674
PME,0.385,0.08168726229686984
PME,0.395,0.0987684367380418
PME,0.405,0.10737307803193899
PME,0.41500000000000004,0.14700027930724943
PME,0.42500000000000004,0.21938762931152123
PME,0.43500000000000005,0.2559543811408696
PME,0.44500000000000006,0.28904973577416354
PME,0.455,0.21268029181902123
PME,0.46499999999999997,0.3461734850053145
PME,0.475,0.351266527770464
PME,0.485,0.3228923522093911
PME,0.495,0.3324406191134081
PME,0.505,0.24602851154035973
PME,0.515,0.2780700596854696
PME,0.525,0.14776702086725524
PME,0.535,0.1961360833727851
PME,0.545,0.19271063631851648
PME,0.555,0.1822552264822106
PME,0.5650000000000001,0.19310224595208297
PME,0.575,0.19976166334629616
PME,0.585,0.2283723769519885
PME,0.595,0.2176513757512358
CWLD_water_off_aq0p5,0.10500000000000001,0.0
CWLD_water_off_aq0p5,0.115,0.0
CWLD_water_off_aq0p5,0.125,0.0
CWLD_water_off_aq0p5,0.135,0.0
CWLD_water_off_aq0p5,0.14500000000000002,0.0
CWLD_water_off_aq0p5,0.15500000000000003,0.0
CWLD_water_off_aq0p5,0.165,0.0
CWLD_water_off_aq0p5,0.175,0.0
CWLD_water_off_aq0p5,0.185,0.0
CWLD_water_off_aq0p5,0.195,0.0
CWLD_water_off_aq0p5,0.20500000000000002,0.0
CWLD_water_off_aq0p5,0.21500000000000002,0.0
CWLD_water_off_aq0p5,0.225,0.021681198697935115
CWLD_water_off_aq0p5,0.23500000000000001,0.5763901531941698
CWLD_water_off_aq0p5,0.245,1.444622723459699
CWLD_water_off_aq0p5,0.255,0.7427394137238297
CWLD_water_off_aq0p5,0.265,0.31261263238883197
CWLD_water_off_aq0p5,0.275,0.0870878999263907
CWLD_water_off_aq0p5,0.28500000000000003,0.013514050398918117
CWLD_water_off_aq0p5,0.29500000000000004,0.025226917519849405
CWLD_water_off_aq0p5,0.30500000000000005,0.011799978796905645
CWLD_water_off_aq0p5,0.315,0.01106272785427056
CWLD_water_off_aq0p5,0.325,0.0
CWLD_water_off_aq0p5,0.33499999999999996,0.00978133080551339
CWLD_water_off_aq0p5,0.345,0.009222554136702182
CWLD_water_off_aq0p5,0.355,0.017420651056420742
CWLD_water_off_aq0p5,0.365,0.016479229833456826
CWLD_water_off_aq0p5,0.375,0.0312242150482706
CWLD_water_off_aq0p5,0.385,0.044434999984929356
CWLD_water_off_aq0p5,0.395,0.10553431154292904
CWLD_water_off_aq0p5,0.405,0.12715730047167376
CWLD_water_off_aq0p5,0.41500000000000004,0.10835564040580191
CWLD_water_off_aq0p5,0.42500000000000004,0.19447863190795897
CWLD_water_off_aq0p5,0.43500000000000005,0.2784603768652179
CWLD_water_off_aq0p5,0.44500000000000006,0.3048907162462532
CWLD_water_off_aq0p5,0.455,0.3499640789346016
CWLD_water_off_aq0p5,0.46499999999999997,0.2944592211631693
CWLD_water_off_aq0p5,0.475,0.31624954253813353
CWLD_water_off_aq0p5,0.485,0.2940095893150484
CWLD_water_off_aq0p5,0.495,0.2777706340598738
CWLD_water_off_aq0p5,0.505,0.19800706807208412
CWLD_water_off_aq0p5,0.515,0.2607547658409326
CWLD_water_off_aq0p5,0.525,0.20710539639043424
CWLD_water_off_aq0p5,0.535,0.17642390565034555
CWLD_water_off_aq0p5,0.545,0.1478340963849775
CWLD_water_off_aq0p5,0.555,0.19601295803689978
CWLD_water_off_aq0p5,0.5650000000000001,0.17881951788164352
CWLD_water_off_aq0p5,0.575,0.18925529053970527
CWLD_water_off_aq0p5,0.585,0.18925593732420762
CWLD_water_off_aq0p5,0.595,0.26356915261123215
CWLD_aq0_unweighted_density,0.10500000000000001,0.0
CWLD_aq0_unweighted_density,0.115,0.0
CWLD_aq0_unweighted_density,0.125,0.0
CWLD_aq0_unweighted_density,0.135,0.0
CWLD_aq0_unweighted_density,0.14500000000000002,0.0
CWLD_aq0_unweighted_density,0.15500000000000003,0.0
CWLD_aq0_unweighted_density,0.165,0.0
CWLD_aq0_unweighted_density,0.175,0.0
CWLD_aq0_unweighted_density,0.185,0.0
CWLD_aq0_unweighted_density,0.195,0.0
CWLD_aq0_unweighted_density,0.20500000000000002,0.0
CWLD_aq0_unweighted_density,0.21500000000000002,0.0
CWLD_aq0_unweighted_density,0.225,0.0
CWLD_aq0_unweighted_density,0.23500000000000001,0.7322885562871133
CWLD_aq0_unweighted_density,0.245,2.075841405008082
CWLD_aq0_unweighted_density,0.255,1.04216732294735
CWLD_aq0_unweighted_density,0.265,0.35798623851842887
CWLD_aq0_unweighted_density,0.275,0.04336005161582361
CWLD_aq0_unweighted_density,0.28500000000000003,0.013456976763275046
CWLD_aq0_unweighted_density,0.29500000000000004,0.012560188576063286
CWLD_aq0_unweighted_density,0.30500000000000005,0.011750144167718198
CWLD_aq0_unweighted_density,0.315,0.011016006843164696
CWLD_aq0_unweighted_density,0.325,0.010348580742221917
CWLD_aq0_unweighted_density,0.33499999999999996,0.019480042989071238
CWLD_aq0_unweighted_density,0.345,0.018367209393503964
CWLD_aq0_unweighted_density,0.355,0.0
CWLD_aq0_unweighted_density,0.365,0.008204816705554492
CWLD_aq0_unweighted_density,0.375,0.0621846928127068
CWLD_aq0_unweighted_density,0.385,0.029498225655139477
CWLD_aq0_unweighted_density,0.395,0.13311223992094068
CWLD_aq0_unweighted_density,0.405,0.13994872989516932
CWLD_aq0_unweighted_density,0.41500000000000004,0.24753076108224306
CWLD_aq0_unweighted_density,0.42500000000000004,0.2844341504869458
CWLD_aq0_unweighted_density,0.43500000000000005,0.31194490542424974
CWLD_aq0_unweighted_density,0.44500000000000006,0.2649626853830773
CWLD_aq0_unweighted_density,0.455,0.3854467272844017
CWLD_aq0_unweighted_density,0.46499999999999997,0.3387146152197912
CWLD_aq0_unweighted_density,0.475,0.35851739925180937
CWLD_aq0_unweighted_density,0.485,0.3252976712550785
CWLD_aq0_unweighted_density,0.495,0.29444253252056635
CWLD_aq0_unweighted_density,0.505,0.27432463100437565
CWLD_aq0_unweighted_density,0.515,0.19370977271443549
CWLD_aq0_unweighted_density,0.525,0.20226475643695332
CWLD_aq0_unweighted_density,0.535,0.17949792261427266
CWLD_aq0_unweighted_density,0.545,0.1840121892722545
CWLD_aq0_unweighted_density,0.555,0.20228278164806562
CWLD_aq0_unweighted_density,0.5650000000000001,0.21573176354206766
CWLD_aq0_unweighted_density,0.575,0.20829348719048324
CWLD_aq0_unweighted_density,0.585,0.21401010119127123
CWLD_aq0_unweighted_density,0.595,0.28098233366549485
CWLD_aq0p5_charge_weighted_density,0.10500000000000001,0.0
CWLD_aq0p5_charge_weighted_density,0.115,0.0
CWLD_aq0p5_charge_weighted_density,0.125,0.0
CWLD_aq0p5_charge_weighted_density,0.135,0.0
CWLD_aq0p5_charge_weighted_density,0.14500000000000002,0.0
CWLD_aq0p5_charge_weighted_density,0.15500000000000003,0.0
CWLD_aq0p5_charge_weighted_density,0.165,0.0
CWLD_aq0p5_charge_weighted_density,0.175,0.0
CWLD_aq0p5_charge_weighted_density,0.185,0.0
CWLD_aq0p5_charge_weighted_density,0.195,0.0
CWLD_aq0p5_charge_weighted_density,0.20500000000000002,0.0
CWLD_aq0p5_charge_weighted_density,0.21500000000000002,0.0
CWLD_aq0p5_charge_weighted_density,0.225,0.0
CWLD_aq0p5_charge_weighted_density,0.23500000000000001,0.6331012021442105
CWLD_aq0p5_charge_weighted_density,0.245,1.438000532070444
CWLD_aq0p5_charge_weighted_density,0.255,0.8401530400699622
CWLD_aq0p5_charge_weighted_density,0.265,0.20226674471091077
CWLD_aq0p5_charge_weighted_density,0.275,0.11558491537604193
CWLD_aq0p5_charge_weighted_density,0.28500000000000003,0.053808406439934224
CWLD_aq0p5_charge_weighted_density,0.29500000000000004,0.01255563830851393
CWLD_aq0p5_charge_weighted_density,0.30500000000000005,0.0
CWLD_aq0p5_charge_weighted_density,0.315,0.011012015997154833
CWLD_aq0p5_charge_weighted_density,0.325,0.010344831689343607
CWLD_aq0p5_charge_weighted_density,0.33499999999999996,0.0
CWLD_aq0p5_charge_weighted_density,0.345,0.0
CWLD_aq0p5_charge_weighted_density,0.355,0.026011191449507975
CWLD_aq0p5_charge_weighted_density,0.365,0.01640368857819862
CWLD_aq0p5_charge_weighted_density,0.375,0.04662162354614347
CWLD_aq0p5_charge_weighted_density,0.385,0.0589750782523588
CWLD_aq0p5_charge_weighted_density,0.395,0.11205390856152059
CWLD_aq0p5_charge_weighted_density,0.405,0.07327992031270672
CWLD_aq0p5_charge_weighted_density,0.41500000000000004,0.1522714377713795
CWLD_aq0p5_charge_weighted_density,0.42500000000000004,0.1693887443179253
CWLD_aq0p5_charge_weighted_density,0.43500000000000005,0.2829585713498261
CWLD_aq0p5_charge_weighted_density,0.44500000000000006,0.2814208639623004
CWLD_aq0p5_charge_weighted_density,0.455,0.2639089649294016
CWLD_aq0p5_charge_weighted_density,0.46499999999999997,0.3941816227278146
CWLD_aq0p5_charge_weighted_density,0.475,0.392289038485142
CWLD_aq0p5_charge_weighted_density,0.485,0.3205343973393175
CWLD_aq0p5_charge_weighted_density,0.495,0.32555330275033095
CWLD_aq0p5_charge_weighted_density,0.505,0.2656557104507713
CWLD_aq0p5_charge_weighted_density,0.515,0.2595594586254102
CWLD_aq0p5_charge_weighted_density,0.525,0.18633332522746496
CWLD_aq0p5_charge_weighted_density,0.535,0.10689619255372508
CWLD_aq0p5_charge_weighted_density,0.545,0.19498225743991487
CWLD_aq0p5_charge_weighted_density,0.555,0.20220949924696535
CWLD_aq0p5_charge_weighted_density,0.5650000000000001,0.20196131625647554
CWLD_aq0p5_charge_weighted_density,0.575,0.21813317140366956
CWLD_aq0p5_charge_weighted_density,0.585,0.22351164056171133
CWLD_aq0p5_charge_weighted_density,0.595,0.26236094416722033
